address	original_name	display_name	name_source	class	bucket	route_source	path	src_chunk
802979f8	FUN_802979f8	FUN_802979f8	generated		game-unsorted	symbol-or-address	game/unsorted/802979f8_FUN_802979f8.c	chunk_0077.c
80297b50	FUN_80297b50	FUN_80297b50	generated		game-unsorted	symbol-or-address	game/unsorted/80297b50_FUN_80297b50.c	chunk_0077.c
80297db4	FUN_80297db4	movement-physics_candidate_80297db4	evidence-index		movement-physics	evidence-topic	game/physics/movement/80297db4_movement-physics_candidate_80297db4.c	chunk_0077.c
80297ec4	zz_0297ec4_	zz_0297ec4_	generated		game-unsorted	symbol-or-address	game/unsorted/80297ec4_zz_0297ec4.c	chunk_0077.c
80298240	FUN_80298240	FUN_80298240	generated		game-unsorted	symbol-or-address	game/unsorted/80298240_FUN_80298240.c	chunk_0077.c
80298260	FUN_80298260	FUN_80298260	generated		game-unsorted	symbol-or-address	game/unsorted/80298260_FUN_80298260.c	chunk_0077.c
80298288	FUN_80298288	FUN_80298288	generated		game-unsorted	symbol-or-address	game/unsorted/80298288_FUN_80298288.c	chunk_0077.c
802982c4	zz_02982c4_	zz_02982c4_	generated		game-unsorted	symbol-or-address	game/unsorted/802982c4_zz_02982c4.c	chunk_0077.c
80298318	FUN_80298318	FUN_80298318	generated		game-unsorted	symbol-or-address	game/unsorted/80298318_FUN_80298318.c	chunk_0077.c
802983bc	FUN_802983bc	FUN_802983bc	generated		game-unsorted	symbol-or-address	game/unsorted/802983bc_FUN_802983bc.c	chunk_0077.c
802983e4	FUN_802983e4	FUN_802983e4	generated		game-unsorted	symbol-or-address	game/unsorted/802983e4_FUN_802983e4.c	chunk_0077.c
8029840c	FUN_8029840c	FUN_8029840c	generated		game-unsorted	symbol-or-address	game/unsorted/8029840c_FUN_8029840c.c	chunk_0077.c
80298434	FUN_80298434	FUN_80298434	generated		game-unsorted	symbol-or-address	game/unsorted/80298434_FUN_80298434.c	chunk_0077.c
80298464	FUN_80298464	FUN_80298464	generated		game-unsorted	symbol-or-address	game/unsorted/80298464_FUN_80298464.c	chunk_0077.c
